modomics_position	fasta_position	modification	fasta_entry
12	12	Y	Homo_sapiens_tRNA-Glu-TTC-14-1
19	19	Y	Homo_sapiens_tRNA-Glu-TTC-14-1
47	47	m5C	Homo_sapiens_tRNA-Glu-TTC-14-1
48	48	m5C	Homo_sapiens_tRNA-Glu-TTC-14-1
52	52	m5Um	Homo_sapiens_tRNA-Glu-TTC-14-1
53	53	Y	Homo_sapiens_tRNA-Glu-TTC-14-1
9	9	m2G	Homo_sapiens_tRNA-Glu-TTC-4-1
12	12	Y	Homo_sapiens_tRNA-Glu-TTC-4-1
19	19	Y	Homo_sapiens_tRNA-Glu-TTC-4-1
47	47	m5C	Homo_sapiens_tRNA-Glu-TTC-4-1
48	48	m5C	Homo_sapiens_tRNA-Glu-TTC-4-1
52	52	m5Um	Homo_sapiens_tRNA-Glu-TTC-4-1
53	53	Y	Homo_sapiens_tRNA-Glu-TTC-4-1
9	9	m2G	Homo_sapiens_tRNA-Glu-TTC-3-1
12	12	Y	Homo_sapiens_tRNA-Glu-TTC-3-1
19	19	Y	Homo_sapiens_tRNA-Glu-TTC-3-1
47	47	m5C	Homo_sapiens_tRNA-Glu-TTC-3-1
48	48	m5C	Homo_sapiens_tRNA-Glu-TTC-3-1
52	52	m5Um	Homo_sapiens_tRNA-Glu-TTC-3-1
53	53	Y	Homo_sapiens_tRNA-Glu-TTC-3-1
9	9	m2G	Homo_sapiens_tRNA-Glu-TTC-4-2
12	12	Y	Homo_sapiens_tRNA-Glu-TTC-4-2
19	19	Y	Homo_sapiens_tRNA-Glu-TTC-4-2
47	47	m5C	Homo_sapiens_tRNA-Glu-TTC-4-2
48	48	m5C	Homo_sapiens_tRNA-Glu-TTC-4-2
52	52	m5Um	Homo_sapiens_tRNA-Glu-TTC-4-2
53	53	Y	Homo_sapiens_tRNA-Glu-TTC-4-2
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-1
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-1
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-1
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-1
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-1
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-1
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-1
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-1
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-2
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-2
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-2
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-2
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-2
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-2
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-2
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-2
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-3
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-3
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-3
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-3
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-3
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-3
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-3
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-3
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-4
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-4
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-4
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-4
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-4
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-4
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-4
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-4
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-5
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-5
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-5
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-5
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-5
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-5
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-5
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-5
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-2-1
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-2-1
18	18	D	Homo_sapiens_tRNA-Glu-CTC-2-1
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-2-1
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-2-1
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-2-1
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-2-1
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-2-1
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-6
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-6
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-6
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-6
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-6
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-6
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-6
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-6
9	9	m2G	Homo_sapiens_tRNA-Glu-CTC-1-7
12	12	Y	Homo_sapiens_tRNA-Glu-CTC-1-7
18	18	D	Homo_sapiens_tRNA-Glu-CTC-1-7
19	19	Y	Homo_sapiens_tRNA-Glu-CTC-1-7
47	47	m5C	Homo_sapiens_tRNA-Glu-CTC-1-7
48	48	m5C	Homo_sapiens_tRNA-Glu-CTC-1-7
52	52	m5Um	Homo_sapiens_tRNA-Glu-CTC-1-7
53	53	Y	Homo_sapiens_tRNA-Glu-CTC-1-7
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-1-3
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-1-3
15	15	D	Homo_sapiens_tRNA-Phe-GAA-1-3
16	16	D	Homo_sapiens_tRNA-Phe-GAA-1-3
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-1-3
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-1-3
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-1-3
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-1-3
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-1-3
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-1-3
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-1-3
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-1-3
46	46	D	Homo_sapiens_tRNA-Phe-GAA-1-3
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-1-3
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-1-3
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-1-3
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-1-3
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-2-1
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-2-1
15	15	D	Homo_sapiens_tRNA-Phe-GAA-2-1
16	16	D	Homo_sapiens_tRNA-Phe-GAA-2-1
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-2-1
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-2-1
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-2-1
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-2-1
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-2-1
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-2-1
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-2-1
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-2-1
46	46	D	Homo_sapiens_tRNA-Phe-GAA-2-1
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-2-1
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-2-1
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-2-1
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-2-1
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-1-4
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-1-4
15	15	D	Homo_sapiens_tRNA-Phe-GAA-1-4
16	16	D	Homo_sapiens_tRNA-Phe-GAA-1-4
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-1-4
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-1-4
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-1-4
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-1-4
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-1-4
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-1-4
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-1-4
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-1-4
46	46	D	Homo_sapiens_tRNA-Phe-GAA-1-4
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-1-4
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-1-4
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-1-4
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-1-4
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-1-5
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-1-5
15	15	D	Homo_sapiens_tRNA-Phe-GAA-1-5
16	16	D	Homo_sapiens_tRNA-Phe-GAA-1-5
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-1-5
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-1-5
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-1-5
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-1-5
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-1-5
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-1-5
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-1-5
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-1-5
46	46	D	Homo_sapiens_tRNA-Phe-GAA-1-5
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-1-5
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-1-5
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-1-5
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-1-5
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-1-6
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-1-6
15	15	D	Homo_sapiens_tRNA-Phe-GAA-1-6
16	16	D	Homo_sapiens_tRNA-Phe-GAA-1-6
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-1-6
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-1-6
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-1-6
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-1-6
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-1-6
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-1-6
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-1-6
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-1-6
46	46	D	Homo_sapiens_tRNA-Phe-GAA-1-6
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-1-6
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-1-6
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-1-6
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-1-6
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-5-1
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-5-1
15	15	D	Homo_sapiens_tRNA-Phe-GAA-5-1
16	16	D	Homo_sapiens_tRNA-Phe-GAA-5-1
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-5-1
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-5-1
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-5-1
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-5-1
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-5-1
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-5-1
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-5-1
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-5-1
46	46	D	Homo_sapiens_tRNA-Phe-GAA-5-1
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-5-1
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-5-1
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-5-1
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-5-1
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-1-1
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-1-1
15	15	D	Homo_sapiens_tRNA-Phe-GAA-1-1
16	16	D	Homo_sapiens_tRNA-Phe-GAA-1-1
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-1-1
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-1-1
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-1-1
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-1-1
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-1-1
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-1-1
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-1-1
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-1-1
46	46	D	Homo_sapiens_tRNA-Phe-GAA-1-1
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-1-1
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-1-1
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-1-1
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-1-1
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-3-1
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-3-1
15	15	D	Homo_sapiens_tRNA-Phe-GAA-3-1
16	16	D	Homo_sapiens_tRNA-Phe-GAA-3-1
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-3-1
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-3-1
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-3-1
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-3-1
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-3-1
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-3-1
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-3-1
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-3-1
46	46	D	Homo_sapiens_tRNA-Phe-GAA-3-1
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-3-1
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-3-1
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-3-1
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-3-1
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-4-1
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-4-1
15	15	D	Homo_sapiens_tRNA-Phe-GAA-4-1
16	16	D	Homo_sapiens_tRNA-Phe-GAA-4-1
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-4-1
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-4-1
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-4-1
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-4-1
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-4-1
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-4-1
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-4-1
45	46	m7G	Homo_sapiens_tRNA-Phe-GAA-4-1
46	47	D	Homo_sapiens_tRNA-Phe-GAA-4-1
48	49	m5C	Homo_sapiens_tRNA-Phe-GAA-4-1
53	54	m5U	Homo_sapiens_tRNA-Phe-GAA-4-1
54	55	Y	Homo_sapiens_tRNA-Phe-GAA-4-1
57	58	m1A	Homo_sapiens_tRNA-Phe-GAA-4-1
9	9	m2G	Homo_sapiens_tRNA-Phe-GAA-1-2
13	13	m1A	Homo_sapiens_tRNA-Phe-GAA-1-2
15	15	D	Homo_sapiens_tRNA-Phe-GAA-1-2
16	16	D	Homo_sapiens_tRNA-Phe-GAA-1-2
25	25	m2,2G	Homo_sapiens_tRNA-Phe-GAA-1-2
26	26	Y	Homo_sapiens_tRNA-Phe-GAA-1-2
27	27	Y	Homo_sapiens_tRNA-Phe-GAA-1-2
31	31	Cm	Homo_sapiens_tRNA-Phe-GAA-1-2
33	33	Gm	Homo_sapiens_tRNA-Phe-GAA-1-2
36	36	o2yW	Homo_sapiens_tRNA-Phe-GAA-1-2
38	38	Y	Homo_sapiens_tRNA-Phe-GAA-1-2
45	45	m7G	Homo_sapiens_tRNA-Phe-GAA-1-2
46	46	D	Homo_sapiens_tRNA-Phe-GAA-1-2
48	48	m5C	Homo_sapiens_tRNA-Phe-GAA-1-2
53	53	m5U	Homo_sapiens_tRNA-Phe-GAA-1-2
54	54	Y	Homo_sapiens_tRNA-Phe-GAA-1-2
57	57	m1A	Homo_sapiens_tRNA-Phe-GAA-1-2
3	3	Cm	Homo_sapiens_tRNA-Gly-CCC-2-2
5	5	m2G	Homo_sapiens_tRNA-Gly-CCC-2-2
12	12	Y	Homo_sapiens_tRNA-Gly-CCC-2-2
18	18	D	Homo_sapiens_tRNA-Gly-CCC-2-2
30	30	Um	Homo_sapiens_tRNA-Gly-CCC-2-2
37	37	Ym	Homo_sapiens_tRNA-Gly-CCC-2-2
46	46	m5C	Homo_sapiens_tRNA-Gly-CCC-2-2
47	47	m5C	Homo_sapiens_tRNA-Gly-CCC-2-2
51	51	m5U	Homo_sapiens_tRNA-Gly-CCC-2-2
52	52	Y	Homo_sapiens_tRNA-Gly-CCC-2-2
55	55	m1A	Homo_sapiens_tRNA-Gly-CCC-2-2
3	3	Cm	Homo_sapiens_tRNA-Gly-CCC-2-1
5	5	m2G	Homo_sapiens_tRNA-Gly-CCC-2-1
12	12	Y	Homo_sapiens_tRNA-Gly-CCC-2-1
18	18	D	Homo_sapiens_tRNA-Gly-CCC-2-1
30	30	Um	Homo_sapiens_tRNA-Gly-CCC-2-1
37	37	Ym	Homo_sapiens_tRNA-Gly-CCC-2-1
46	46	m5C	Homo_sapiens_tRNA-Gly-CCC-2-1
47	47	m5C	Homo_sapiens_tRNA-Gly-CCC-2-1
51	51	m5U	Homo_sapiens_tRNA-Gly-CCC-2-1
52	52	Y	Homo_sapiens_tRNA-Gly-CCC-2-1
55	55	m1A	Homo_sapiens_tRNA-Gly-CCC-2-1
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-1-1
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-1-1
18	18	D	Homo_sapiens_tRNA-Gly-GCC-1-1
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-1-1
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-1-1
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-1-1
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-1-1
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-1-1
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-1-1
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-1-1
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-1-2
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-1-2
18	18	D	Homo_sapiens_tRNA-Gly-GCC-1-2
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-1-2
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-1-2
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-1-2
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-1-2
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-1-2
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-1-2
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-1-2
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-1-3
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-1-3
18	18	D	Homo_sapiens_tRNA-Gly-GCC-1-3
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-1-3
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-1-3
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-1-3
